Id,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Body,Highest Alert,Note,Tags
1,Tue Sep 11 14:05:46 EDT 2018,GET,https://localhost:8443,200,OK,25,16,,false,SetCookie
389,Tue Sep 11 14:24:25 EDT 2018,GET,https://localhost:8443,200,OK,28,16,,false,SetCookie
776,Tue Sep 11 14:26:06 EDT 2018,GET,https://localhost:8443,200,OK,11,16,,false,SetCookie
1163,Tue Sep 11 14:27:12 EDT 2018,GET,https://localhost:8443,200,OK,10,16,,false,SetCookie
1550,Tue Sep 11 14:27:24 EDT 2018,POST,"https://accounts.google.com/ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:221&json=standard",200,OK,97,19,,false,JSON
1552,Tue Sep 11 14:27:24 EDT 2018,GET,https://www.gstatic.com/chrome/intelligence/assist/ranker/models/translate/2017/03/translate_ranker_model_20170329.pb.bin,200,OK,111,2407,,false,
1569,Tue Sep 11 14:27:43 EDT 2018,GET,https://localhost:8443/,200,OK,8,16,,false,SetCookie
1570,Tue Sep 11 14:27:56 EDT 2018,GET,https://localhost:8443/api,404,Not Found,7,142,,false,
1571,Tue Sep 11 14:28:00 EDT 2018,GET,https://localhost:8443/api/v1,302,Found,10,68,,false,
1573,Tue Sep 11 14:28:00 EDT 2018,GET,https://localhost:8443/api/current,200,OK,2,96,,false,JSON
1574,Tue Sep 11 14:33:24 EDT 2018,POST,https://update.googleapis.com/service/update2?cup2key=8:4236041975&cup2hreq=663931f203ace30fb8f161d845868298c4d31bb1f47f6d281bef2c540ed2da6a,200,OK,166,8977,,false,
1577,Tue Sep 11 14:33:24 EDT 2018,GET,http://redirector.gvt1.com/edgedl/release2/chrome_component/AIl08sHevCKJ_31.0.0.108/31.0.0.108_mac64_PepperFlashPlayer.crx3,302,Found,50,469,,false,
1584,Tue Sep 11 14:33:27 EDT 2018,GET,http://redirector.gvt1.com/edgedl/chromewebstore/L2Nocm9tZV9leHRlbnNpb24vYmxvYnMvODQzQUFWRnZjSDZEZlFKSFlmOEVoVm9VZw/0.57.44.2492_hnimpnehoodheedghdeeijklkeaacbdc.crx,302,Found,28,511,,false,
1587,Tue Sep 11 14:33:27 EDT 2018,POST,https://update.googleapis.com/service/update2,200,OK,60,247,,false,
